company,item,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190.0,18.0,3.5,0.0,20.0,500.0,4.0,0.0,2.0,2.0
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40.0,3.0,0.0,0.0,0.0,730.0,4.0,0.0,3.0,0.0
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.0,2.5,0.0,0.0,0.0,730.0,8.0,0.0,1.0,1.0
McDonald’s,Newman’s Own® Ranch Dressing,170.0,15.0,2.5,0.0,20.0,530.0,9.0,0.0,4.0,1.0
McDonald’s,Egg McMuffin®,300.0,12.0,5.0,0.0,260.0,820.0,30.0,2.0,3.0,18.0
McDonald’s,Sausage McMuffin®,370.0,22.0,8.0,0.0,45.0,850.0,29.0,2.0,2.0,14.0
McDonald’s,Sausage McMuffin® with Egg,450.0,27.0,10.0,0.0,285.0,920.0,30.0,2.0,2.0,21.0
McDonald’s,English Muffin,160.0,3.0,0.5,0.0,0.0,280.0,27.0,2.0,2.0,5.0
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,23.0,12.0,0.0,235.0,1160.0,37.0,2.0,3.0,15.0
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,27.0,12.0,0.0,235.0,1270.0,43.0,3.0,4.0,15.0
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,33.0,14.0,0.0,250.0,1170.0,36.0,2.0,2.0,18.0
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.0,37.0,15.0,0.0,250.0,1280.0,42.0,3.0,3.0,18.0
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.0,27.0,12.0,0.0,30.0,1080.0,34.0,2.0,2.0,11.0
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.0,31.0,13.0,0.0,30.0,1190.0,39.0,3.0,3.0,11.0
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,20.0,8.0,0.0,30.0,1180.0,41.0,2.0,3.0,17.0
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,24.0,9.0,0.0,30.0,1290.0,46.0,3.0,4.0,17.0
McDonald’s,"Steak, Egg & Cheese Bagel",660.0,33.0,12.0,1.0,300.0,1580.0,56.0,3.0,7.0,33.0
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.0,18.0,8.0,0.0,240.0,1110.0,48.0,2.0,15.0,15.0
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560.0,32.0,12.0,0.0,265.0,1360.0,48.0,2.0,15.0,20.0
McDonald’s,Sausage McGriddles®,420.0,22.0,8.0,0.0,35.0,1030.0,44.0,2.0,15.0,11.0
McDonald’s,Big Breakfast® (Regular Size Biscuit),740.0,48.0,17.0,0.0,555.0,1560.0,51.0,3.0,3.0,28.0
McDonald’s,Big Breakfast® (Large Size Biscuit),800.0,52.0,18.0,0.0,555.0,1680.0,56.0,4.0,3.0,28.0
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,56.0,19.0,0.0,575.0,2150.0,111.0,6.0,17.0,36.0
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,60.0,20.0,0.0,575.0,2260.0,116.0,7.0,17.0,36.0
McDonald’s,Sausage Burrito,300.0,16.0,7.0,0.0,115.0,830.0,26.0,1.0,2.0,12.0
McDonald’s,McSkillet™ Burrito with Sausage,610.0,36.0,14.0,0.5,410.0,1390.0,44.0,3.0,4.0,27.0
McDonald’s,Hotcakes,350.0,9.0,2.0,0.0,20.0,590.0,60.0,3.0,14.0,8.0
McDonald’s,Hotcakes and Sausage,520.0,24.0,7.0,0.0,50.0,930.0,61.0,3.0,14.0,15.0
McDonald’s,Hotcake Syrup,180.0,0.0,0.0,0.0,0.0,20.0,45.0,0.0,32.0,0.0
McDonald’s,Whipped Margarine (1 pat),40.0,4.5,1.5,0.0,0.0,55.0,0.0,0.0,0.0,0.0
McDonald’s,Hash Brown,150.0,9.0,1.5,0.0,0.0,310.0,15.0,2.0,0.0,1.0
McDonald’s,Grape Jam,35.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
McDonald’s,Strawberry Preserves,35.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
McDonald’s,"Bacon, Egg & Cheese Bagel",560.0,27.0,9.0,0.5,260.0,1300.0,56.0,3.0,7.0,24.0
McDonald’s,Fruit & Maple Oatmeal,290.0,4.5,2.0,0.0,10.0,160.0,57.0,5.0,32.0,5.0
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260.0,4.5,2.0,0.0,10.0,115.0,48.0,5.0,18.0,5.0
McDonald’s,Hamburger Happy Meal,475.0,16.0,5.5,0.0,40.0,690.0,62.0,2.0,20.0,22.0
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395.0,17.0,3.5,0.0,35.0,510.0,41.0,1.0,14.0,19.0
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475.0,22.0,4.5,0.0,50.0,680.0,46.0,2.0,14.0,24.0
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),160.0,2.0,1.0,0.0,5.0,85.0,31.0,1.0,21.0,4.0
McDonald’s,Low Fat Caramel Dip,70.0,0.5,0.0,0.0,5.0,35.0,15.0,0.0,9.0,0.0
McDonald’s,Vanilla Reduced Fat Ice Cream Cone,150.0,3.5,2.0,0.0,15.0,60.0,24.0,0.0,18.0,4.0
McDonald’s,Kiddie Cone,45.0,1.0,0.5,0.0,5.0,20.0,8.0,0.0,6.0,1.0
McDonald’s,Strawberry Sundae,280.0,6.0,4.0,0.0,25.0,95.0,49.0,1.0,45.0,6.0
McDonald’s,Hot Caramel Sundae,340.0,8.0,5.0,0.0,30.0,160.0,60.0,1.0,44.0,7.0
McDonald’s,Hot Fudge Sundae,330.0,10.0,7.0,0.0,25.0,180.0,54.0,2.0,48.0,8.0
McDonald’s,Peanuts (for Sundaes),45.0,3.5,0.5,0.0,0.0,0.0,2.0,1.0,0.0,2.0
McDonald’s,McFlurry® with M&M’S® Candies (12 fl oz cup),710.0,25.0,16.0,1.0,60.0,220.0,105.0,4.0,97.0,15.0
McDonald’s,McFlurry® with OREO® Cookies (12 fl oz cup),580.0,19.0,10.0,1.0,50.0,320.0,89.0,3.0,73.0,13.0
McDonald’s,Baked Hot Apple Pie,250.0,13.0,7.0,0.0,0.0,170.0,32.0,4.0,13.0,2.0
McDonald’s,Cinnamon Melts,460.0,19.0,9.0,0.0,15.0,370.0,66.0,3.0,32.0,6.0
McDonald’s,McDonaldland® Cookies,260.0,8.0,2.5,0.0,0.0,300.0,43.0,1.0,13.0,4.0
McDonald’s,Chocolate Chip Cookie,160.0,8.0,3.5,0.0,10.0,90.0,21.0,1.0,15.0,2.0
McDonald’s,Oatmeal Raisin Cookie,150.0,6.0,2.5,0.0,10.0,135.0,22.0,1.0,13.0,2.0
McDonald’s,Sugar Cookie,160.0,7.0,3.0,0.0,5.0,120.0,21.0,0.0,11.0,2.0
McDonald’s,Apple Dippers with Low Fat Caramel Dip,100.0,0.5,0.0,0.0,5.0,35.0,23.0,0.0,15.0,0.0
McDonald’s,Chocolate McCafé® Shake (12 fl oz cup),580.0,17.0,10.0,1.0,50.0,240.0,94.0,1.0,77.0,11.0
McDonald’s,Chocolate McCafé® Shake (16 fl oz cup),720.0,20.0,12.0,1.0,60.0,300.0,119.0,1.0,98.0,15.0
McDonald’s,Chocolate McCafé® Shake (22 fl oz cup),880.0,24.0,15.0,1.5,75.0,370.0,147.0,1.0,121.0,18.0
McDonald’s,Chocolate Triple Thick® Shake (12 fl oz cup),440.0,10.0,6.0,0.5,40.0,190.0,76.0,1.0,63.0,10.0
McDonald’s,Chocolate Triple Thick® Shake (16 fl oz cup),580.0,14.0,8.0,1.0,50.0,250.0,102.0,1.0,84.0,13.0
McDonald’s,Chocolate Triple Thick® Shake (21 fl oz cup),770.0,18.0,11.0,1.0,70.0,330.0,134.0,1.0,111.0,18.0
McDonald’s,Chocolate Triple Thick® Shake (32 fl oz cup),1160.0,27.0,16.0,2.0,100.0,510.0,203.0,2.0,168.0,27.0
