,Title,Rating,directors,actors,voter_count,years,link
150,Rashomon,8.1,Akira Kurosawa ,"[' Toshirô Mifune', ' Machiko Kyô']","170,926",1950,https://www.imdb.com/title/tt0042876/
151,Spider-Man: No Way Home,8.1,Jon Watts ,"[' Tom Holland', ' Zendaya']","775,914",2021,https://www.imdb.com/title/tt10872600/
152,The Thing,8.1,John Carpenter ,"[' Kurt Russell', ' Wilford Brimley']","432,413",1982,https://www.imdb.com/title/tt0084787/
153,Finding Nemo,8.1,Andrew Stanton ,"[' Albert Brooks', ' Ellen DeGeneres']","1,054,978",2003,https://www.imdb.com/title/tt0266543/
154,The Elephant Man,8.1,David Lynch ,"[' Anthony Hopkins', ' John Hurt']","244,964",1980,https://www.imdb.com/title/tt0080678/
155,Chinatown,8.1,Roman Polanski ,"[' Jack Nicholson', ' Faye Dunaway']","331,225",1974,https://www.imdb.com/title/tt0071315/
156,Raging Bull,8.1,Martin Scorsese ,"[' Robert De Niro', ' Cathy Moriarty']","358,870",1980,https://www.imdb.com/title/tt0081398/
157,V for Vendetta,8.1,James McTeigue ,"[' Hugo Weaving', ' Natalie Portman']","1,131,629",2005,https://www.imdb.com/title/tt0434409/
158,Gone with the Wind,8.1,Victor Fleming ,"[' Clark Gable', ' Vivien Leigh']","319,402",1939,https://www.imdb.com/title/tt0031381/
159,"Lock, Stock and Two Smoking Barrels",8.1,Guy Ritchie ,"[' Jason Flemyng', ' Dexter Fletcher']","589,300",1998,https://www.imdb.com/title/tt0120735/
160,Inside Out,8.1,Pete Docter ,"[' Amy Poehler', ' Bill Hader']","725,238",2015,https://www.imdb.com/title/tt2096673/
161,Dial M for Murder,8.1,Alfred Hitchcock ,"[' Ray Milland', ' Grace Kelly']","178,554",1954,https://www.imdb.com/title/tt0046912/
162,The Secret in Their Eyes,8.1,Juan José Campanella ,"[' Ricardo Darín', ' Soledad Villamil']","212,256",2009,https://www.imdb.com/title/tt1305806/
163,Howl's Moving Castle,8.1,Hayao Miyazaki ,"[' Chieko Baisho', ' Takuya Kimura']","403,534",2004,https://www.imdb.com/title/tt0347149/
